LAMMPS data file for kUPS LJ Argon NPT validation

256 atoms
1 atom types

0.0 21.04 xlo xhi
0.0 21.04 ylo yhi
0.0 21.04 zlo zhi
0.0 0.0 0.0 xy xz yz

Masses

1 39.948

Atoms # atomic

1 1 20.9348 0.3787199999999999 0.195672
2 1 0.08205599999999999 2.339648 2.339648
3 1 2.257592 0.307184 2.71416
4 1 2.804632 2.226032 0.395552
5 1 5.539832 20.79804 20.772792
6 1 4.992792 2.465888 2.65104
7 1 7.833192000000001 20.863264 2.72468
8 1 7.587024 2.455368 20.928488
9 1 10.482128 0.239856 20.78752
10 1 10.532624 2.707848 2.249176
11 1 13.240472 20.762272 2.263904
12 1 13.52872 3.021344 0.258792
13 1 15.615888 20.701256 0.155696
14 1 15.729504 2.312296 2.625792
15 1 18.018656 0.345056 2.428016
16 1 18.54676 2.4722 0.016832
17 1 0.039976 4.994896 0.395552
18 1 0.23144 8.260304 2.962432
19 1 2.712056 5.615576 2.28284
20 1 2.373312 7.507072 20.89272
21 1 5.165319999999999 5.068536 0.275624
22 1 5.140072 7.704848 2.665768
23 1 7.587024 5.514584000000001 2.27232
24 1 8.300280000000001 8.119336000000001 20.785416
25 1 10.103408 5.525104 0.174632
26 1 10.713568 8.119336000000001 2.27232
27 1 13.030072 4.935983999999999 2.93508
28 1 13.253096 7.746928 20.6718
29 1 15.620096 5.112719999999999 0.193568
30 1 15.89572 8.21612 2.606856
31 1 18.090192 5.43884 2.848816
32 1 18.4626 8.117232 21.035792
33 1 0.018936 10.458984 20.64024
34 1 20.709672 12.756552 2.74572
35 1 2.474304 10.526312 2.972952000000001
36 1 2.4196 13.074256 0.214608
37 1 5.032768 10.164424 20.863264
38 1 4.973856 13.511888 2.888792
39 1 8.001512 10.833496 2.884584
40 1 7.627000000000001 13.480328 0.033664
41 1 10.778792 10.852432 20.886408
42 1 10.191776 12.920664 2.568984
43 1 13.417208 10.822976 2.215512
44 1 13.158416 13.080568 20.806456
45 1 15.460192 10.38324 0.3724080000000001
46 1 15.630616 13.166832 2.800424
47 1 18.29428 10.917656 3.019239999999999
48 1 18.201704 13.147896 20.87168
49 1 20.859056 15.39076 0.09257600000000001
50 1 0.002104 18.033384 2.442744
51 1 2.972952000000001 15.561184 2.331232
52 1 2.621584 18.818176 20.823288
53 1 5.405176 16.00092 20.81908
54 1 5.451464 18.298488 2.741512
55 1 8.001512 15.809456 2.284944
56 1 8.171936000000001 18.258512 20.777
57 1 10.132864 15.855744 0.149384
58 1 10.113928 18.42052 2.400664
59 1 13.272032 15.50648 2.789904
60 1 13.05532 18.7782 20.73492
61 1 15.645344 15.45388 0.35768
62 1 16.097704 18.205912 2.764656
63 1 18.677208 15.826288 2.655248
64 1 18.193288 18.067048 0.334536
65 1 0.33664 0.111512 5.125344000000001
66 1 20.91376 2.81936 8.224536000000001
67 1 2.95612 0.235648 8.009927999999999
68 1 2.280736 2.34596 5.594536000000001
69 1 5.350472 20.627616 4.925464
70 1 5.39676 2.213408 7.603856
71 1 7.929976 0.162008 8.018343999999999
72 1 7.65856 2.80884 5.039079999999999
73 1 10.37272 0.208296 5.38624
74 1 10.81456 2.762552 7.946807999999999
75 1 12.807048 20.928488 7.692224
76 1 12.935392 3.027656 5.169528
77 1 16.110328 0.109408 5.508271999999999
78 1 15.782104 2.695224 7.883687999999999
79 1 18.153312 0.187256 7.704848
80 1 18.01024 2.752032 4.988583999999999
81 1 0.370304 5.642927999999999 5.609264
82 1 20.930592 7.481824 8.249784000000002
83 1 2.568984 5.653448000000001 8.27924
84 1 2.926664 7.717472 5.163216
85 1 5.55456 5.106408 4.982272
86 1 5.308392 8.256095999999999 8.054112
87 1 7.948912 4.921256 7.986783999999999
88 1 8.302384 7.587024 5.274728
89 1 10.837704 5.461983999999999 5.426216
90 1 10.690424 7.772176 7.715368000000002
91 1 13.410896 5.520896 8.199287999999999
92 1 13.49716 7.900519999999999 5.262104
93 1 16.030376 5.38624 5.430423999999999
94 1 16.028272 8.218223999999999 7.753240000000001
95 1 18.3048 4.919152 7.955223999999999
96 1 18.018656 7.860543999999999 5.295767999999999
97 1 20.86116 10.595744 4.864447999999999
98 1 20.65076 13.421416 7.772176
99 1 2.316504 10.538936 8.117232
100 1 2.390144 13.253096 4.910736
101 1 4.883384 10.547352 5.293664
102 1 5.375720000000001 13.33936 8.289759999999999
103 1 7.904728 10.370616 8.138271999999999
104 1 7.696432 13.099504 4.904424
105 1 10.12024 10.90924 5.541936000000002
106 1 10.684112 13.074256 7.614376000000001
107 1 12.861752 10.3096 7.932080000000001
108 1 13.330944 13.284656 5.074847999999999
109 1 16.162928 10.71988 5.306287999999999
110 1 15.87468 13.082672 7.677496
111 1 18.287968 10.736712 7.481824
112 1 18.085984 12.767072 4.872864
113 1 0.298768 15.950424 5.23896
114 1 20.701256 18.403688 7.866856000000001
115 1 2.354376 15.725296 7.803736
116 1 2.726784 18.523616 4.877072
117 1 5.154800000000001 15.8852 5.262104
118 1 5.560871999999999 18.542552 7.60596
119 1 7.528112000000001 15.899928 7.492344
120 1 7.961536 18.780304 5.323119999999999
121 1 10.42532 15.899928 5.224232000000001
122 1 10.557872 18.782408 7.793216000000001
123 1 13.537136 16.120848 7.633312
124 1 12.788112 18.07336 4.853928
125 1 15.439152 15.933592 4.898112
126 1 15.628512 18.700352 7.488136000000001
127 1 18.675104 15.596952 7.568088
128 1 18.576216 18.519408 5.577704
129 1 0.197776 0.254584 10.336952
130 1 20.768584 2.840400000000001 13.408792
131 1 3.042384000000001 20.96636 13.042696
132 1 2.863544 2.495344 10.881888
133 1 5.560871999999999 20.981088 10.7304
134 1 5.474608000000001 2.295464 13.488744
135 1 7.894207999999999 0.275624 12.998512
136 1 8.222432000000001 2.537424 10.107616
137 1 10.860848 20.697048 10.368512
138 1 10.89872 3.00872 13.211016
139 1 13.261512 20.995816 12.975368
140 1 13.004824 2.775176 10.732504
141 1 16.026168 0.244064 10.174944
142 1 15.775792 2.257592 13.19208
143 1 18.361608 0.32612 13.02376
144 1 18.088088 2.329128 10.74092
145 1 0.098888 4.92336 10.170736
146 1 0.16832 7.530215999999999 13.421416
147 1 2.802528 4.908632 12.800736
148 1 3.04028 7.7848 10.410592
149 1 5.523 5.636616 10.928176
150 1 5.472504 7.786903999999999 12.798632
151 1 8.123543999999999 5.308392 13.08688
152 1 8.232951999999999 7.561776000000001 10.513688
153 1 10.10972 5.232648 10.147592
154 1 10.200192 7.568088 13.27624
155 1 13.356192 5.329432000000001 13.53924
156 1 13.0448 7.709055999999999 10.829288
157 1 15.546456 5.64924 10.10972
158 1 16.175552 7.504968 13.478224
159 1 18.433144 5.674487999999999 12.79232
160 1 18.456288 8.285551999999999 10.538936
161 1 0.109408 10.684112 10.482128
162 1 0.107304 13.221536 13.48664
163 1 2.247072 10.334848 13.52872
